"","Isolado","Dose","mean","sd","var","min","max","n"
"112",17,50,97.8275,0.290674502952472,0.0844916666666666,97.5,98.17,4
"113",18,1,87.245,3.28492009035227,10.7907,84.17,90.53,4
"114",18,2.5,93.23,4.06470171107303,16.5218,87.2,96,4
"115",18,5,96.01,0.876470193446418,0.768200000000002,95.2,97.23,4
"116",18,7.5,96.91,0.48159457361284,0.231933333333333,96.56,97.61,4
"117",18,10,96.9125,0.143845982448821,0.0206916666666664,96.7,97.01,4
"118",18,20,97.1275,0.471478171993851,0.222291666666663,96.43,97.42,4
"119",18,50,97.1125,0.33220224763438,0.110358333333334,96.74,97.44,4
"120",19,1,91.04,1.79304210770411,3.21500000000001,88.69,93.04,4
"121",19,2.5,93.085,1.07667698653465,1.15923333333333,92.06,94.02,4
"122",19,5,95.3775,0.121209185570511,0.0146916666666667,95.28,95.53,4
"123",19,7.5,95.7625,0.505791459002623,0.255825000000002,95.15,96.29,4
"124",19,10,94.13,0.850685997690487,0.723666666666659,93.45,95.32,4
"125",19,20,95.7275,0.69935088951589,0.489091666666666,94.95,96.56,4
"126",19,50,96.14,0.258069758011279,0.0666,95.91,96.44,4
"127",20,1,70.475,4.72706744892292,22.3451666666667,64.16,75.52,4
"128",20,2.5,81.9375,3.61953380976059,13.101025,78.19,86.89,4
"129",20,5,91.73,1.60318433126075,2.57019999999999,89.34,92.69,4
"130",20,7.5,91.78,1.06505085950547,1.13433333333333,90.59,92.87,4
"131",20,10,92.695,1.42080962834576,2.01870000000001,90.63,93.88,4
"132",20,20,93.13,0.919311336454264,0.845133333333325,92.37,94.46,4
"133",20,50,93.8675,1.14642560450588,1.31429166666667,92.89,95.15,4
"134",22,1,71.335,6.69725067969437,44.8531666666667,67.55,81.37,4
"135",22,2.5,89.625,3.81188929534949,14.5305,84.16,92.58,4
"136",22,5,94.545,1.02662878717999,1.05396666666667,93.9,96.06,4
"137",22,7.5,93.81,1.70479715313387,2.90633333333334,92.08,95.87,4
"138",22,10,93.2425,1.28300103923055,1.64609166666667,91.74,94.55,4
"139",22,20,95.7325,1.04646627593376,1.09509166666667,94.79,97.23,4
"140",22,50,96.485,0.159269164205341,0.025366666666668,96.27,96.62,4
"141",23,1,88.18,0.887580982220777,0.7878,87.5,89.39,4
"142",23,2.5,87.785,7.41122796842736,54.9263,76.92,93.41,4
"143",23,5,92.2575,1.73282765059502,3.00269166666667,90.66,94.72,4
"144",23,7.5,91.3725,3.25396552942201,10.5882916666667,88.22,95.23,4
"145",23,10,95.2775,0.902381109435845,0.814291666666666,94.12,96.2,4
"146",23,20,95.4625,0.524873000512188,0.275491666666667,94.78,96.06,4
"147",23,50,94.8025,0.487125924855849,0.237291666666666,94.23,95.42,4
"148",24,1,87.39,1.41423713240272,2.00006666666667,85.72,88.73,4
"149",24,2.5,96.1,0.589293362143733,0.347266666666665,95.67,96.97,4
"150",24,5,96.3175,0.577891281586196,0.333958333333336,95.52,96.89,4
"151",24,7.5,96.2375,0.515905353076832,0.266158333333331,95.7,96.94,4
"152",24,10,96.295,0.662042294721418,0.438300000000001,95.49,96.94,4
"153",24,20,95.1,0.821299782864536,0.674533333333334,93.89,95.65,4
"154",24,50,96.49,0.318852107828481,0.101666666666665,96.18,96.91,4
"155",25,1,60.815,5.07249774108706,25.7302333333333,54.03,65.73,4
"156",25,2.5,93.7,0.700333254006023,0.490466666666664,92.86,94.49,4
"157",25,5,94.4175,0.561983095831182,0.315824999999999,93.95,95.22,4
"158",25,7.5,95.19,0.480693942822944,0.231066666666667,94.84,95.9,4
"159",25,10,93.09,0.380087709176007,0.144466666666665,92.59,93.5,4
"160",25,20,95.315,0.423831727615257,0.179633333333333,94.96,95.85,4
"161",25,50,94.4,0.936518374975451,0.877066666666659,93.62,95.66,4
"162",26,1,84.7075,7.34731867191472,53.9830916666667,74.41,90.72,4
"163",26,2.5,83.8475,8.34193572659647,69.5878916666666,73.58,93.63,4
"164",26,5,95.4675,1.55968746869365,2.43262499999999,93.15,96.42,4
"165",26,7.5,96.55,0.654675492133316,0.428599999999999,95.83,97.23,4
"166",26,10,96.6475,0.544877662110192,0.296891666666668,95.92,97.09,4
"167",26,20,96.3725,0.277653861249342,0.0770916666666687,95.99,96.65,4
"168",26,50,96.26,0.293030146344478,0.085866666666666,95.92,96.56,4
"169",27,1,77.4325,5.87271303005121,34.4887583333333,73.04,85.89,4
"170",27,2.5,95.125,1.01946064171208,1.03930000000001,94.3,96.42,4
"171",27,5,95.6675,0.609172936584243,0.37109166666667,94.77,96.08,4
"172",27,7.5,94.015,1.718031819651,2.95163333333333,91.61,95.34,4
"173",27,10,95.645,0.426341021562159,0.181766666666665,95.12,96.14,4
"174",27,20,95.8475,0.632264448892497,0.399758333333333,95.08,96.61,4
"175",27,50,94.74,0.328125992061994,0.107666666666668,94.3,95.01,4
"176",28,1,83.3,0.832626366785647,0.693266666666666,82.32,84.35,4
"177",28,2.5,83.2025,17.4080467504734,303.040091666667,57.11,92.44,4
"178",28,5,96.3275,0.437064068530001,0.191024999999998,95.84,96.78,4
"179",28,7.5,93.485,1.76907697213359,3.12963333333334,91.53,95.17,4
"180",28,10,93.775,0.915587243248834,0.8383,92.84,94.61,4
"181",28,20,98.375,5.35376814340454,28.6628333333333,94.87,106.33,4
"182",28,50,95.765,0.371707770522308,0.138166666666665,95.55,96.32,4
"183",29,1,80.7175,6.51321413231082,42.4219583333334,72.75,87.92,4
"184",29,2.5,70.855,6.22205485886027,38.7139666666667,64.13,77.11,4
"185",29,5,94.47,0.676904720030818,0.4582,94.03,95.47,4
"186",29,7.5,94.8,1.22890194889584,1.51019999999999,93.65,96.39,4
"187",29,10,92.0575,4.78201753098697,22.8676916666667,84.91,94.73,4
"188",29,20,93.7575,1.44063354118943,2.075425,92.13,95.26,4
"189",29,50,95.4,0.860968446963455,0.741266666666664,94.15,96.12,4
"190",30,1,80.8425,6.01991901938888,36.239425,73.19,87.65,4
"191",30,2.5,95.2025,1.14816883195228,1.31829166666666,93.51,96.02,4
"192",30,5,94.665,1.75775424903483,3.0897,92.03,95.63,4
"193",30,7.5,96.01,0.885889383614003,0.784799999999998,94.73,96.67,4
"194",30,10,95.9575,0.309771421104878,0.0959583333333355,95.58,96.29,4
"195",30,20,95.995,0.630687455612257,0.397766666666663,95.09,96.46,4
"196",30,50,95.71,0.297433465949395,0.0884666666666697,95.35,96.04,4
